370,"Q2","EGL","GE L1","527",5,3,,
370,"Q2","HIN","M  L1","515",2,1,,
370,"Q2","HIN","M  L1","522",3,3,,
370,"Q2","HIN","M  L1","515",4,5,,
370,"Q2","HIN","M  L1","515",5,3,,
370,"Q2","KOH","SW L1","523",2,1,,
370,"Q2","KOH","SW L1","523",3,3,,
370,"Q2","KOH","SW L1","524",4,5,,
370,"Q2","KOH","SW L1","524",5,3,,
371,"EF","WIS","F6 G2","521",1,1,,
371,"EF","WIS","F6 G2","521",4,4,,
371,"EF","GRE","M  G1","515",1,1,,
371,"EF","GRE","M  G1","515",4,4,,
371,"EF","KAN","SP G3","kl SpH",1,1,,
371,"EF","KAN","SP G3","kl SpH",4,4,,
371,"EF","WÖR","MU G2","Mu 1",1,1,,
371,"EF","WÖR","MU G2","Mu 1",4,4,,
371,"EF","SFN","M  G1","515",1,1,,
371,"EF","SFN","M  G1","515",4,4,,
372,"EF","KLS","CH G2","537",2,1,,
372,"EF","KLS","CH G2","537",3,3,,
372,"EF","SLF","ER G2","517",2,1,,
372,"EF","SLF","ER G2","517",3,3,,
372,"EF","MOR","E5 G3","513",2,1,,
372,"EF","MOR","E5 G3","524",3,3,,
372,"EF","WEB","M  V1","522",2,1,,
372,"EF","WEB","M  V1","515",3,3,,
373,"EF","SPN","E5 G4","524",4,1,,
373,"EF","SPN","E5 G4","524",5,2,,
373,"EF","GIL","KU G1","Ku 2",4,1,,
373,"EF","GIL","KU G1","Ku 2",5,2,,
373,"EF","KOH","SW G3","526",4,1,,
373,"EF","KOH","SW G3","526",5,2,,
373,"EF","RAM","S8 G1","511",4,1,,
373,"EF","RAM","S8 G1","511",5,2,,
374,"EF","HOM","CH G1","537",3,2,,
374,"EF","HOM","CH G1","533",4,3,,
374,"EF","GÖB","L6 G1","524",3,2,,
374,"EF","GÖB","L6 G1","524",4,3,,
374,"EF","MAR","M  G3","515",3,2,,
374,"EF","MAR","M  G3","515",4,3,,
374,"EF","KRS","PL G2","521",3,2,,
374,"EF","KRS","PL G2","511",4,3,,
375,"EF","RHT","D  G3","522",2,4,,
375,"EF","RHT","D  G3","521",4,5,,
375,"EF","RHT","D  G3","521",4,6,,
375,"EF","AYM","SP G1","gr SpH",2,4,,
375,"EF","AYM","SP G1","gr SpH",4,5,,
375,"EF","AYM","SP G1","kl SpH",4,6,,
375,"EF","HAN","SW G2","523",2,4,,
375,"EF","HAN","SW G2","523",4,5,,
375,"EF","HAN","SW G2","524",4,6,,
375,"EF","RTR","GE G3","527",2,4,,
375,"EF","RTR","GE G3","527",4,5,,
375,"EF","RTR","GE G3","527",4,6,,
376,"EF","MAY","GE G2","527",1,3,,
376,"EF","MAY","GE G2","527",4,2,,
376,"EF","AND","SW G1","511",1,3,,
376,"EF","AND","SW G1","526",4,2,,
376,"EF","MAR","M  G2","515",1,3,,
